head,winner,loser,raw_generation
lobster,tiger,tricycle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lobster: tiger or tricycle? Respond only with the item name.
model
Tricycle"
weasel,bungee,hippopotamus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to weasel: bungee or hippopotamus? Respond only with the item name.
model
Hippopotamus"
knitting needle,turkey,pencil,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to knitting needle: turkey or pencil? Respond only with the item name.
model
Pencil"
recorder,paper plate,saxophone,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to recorder: paper plate or saxophone? Respond only with the item name.
model
Paper plate"
egg,dynamite,chips,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to egg: dynamite or chips? Respond only with the item name.
model
Chips"
slime,potato,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to slime: potato or shell? Respond only with the item name.
model
Potato"
chalice,coaster,bison,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chalice: coaster or bison? Respond only with the item name.
model
Coaster"
scraper,moth,scalpel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scraper: moth or scalpel? Respond only with the item name.
model
Scalpel"
goblet,cooker,hippopotamus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to goblet: cooker or hippopotamus? Respond only with the item name.
model
Cooker"
engine,petal,train set,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to engine: petal or train set? Respond only with the item name.
model
Train set"
mullet,hot-air balloon,nightshirt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mullet: hot-air balloon or nightshirt? Respond only with the item name.
model
Nightshirt"
water fountain,first-aid kit,blender,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to water fountain: first-aid kit or blender? Respond only with the item name.
model
First-aid kit"
bulletin board,raccoon,envelope,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bulletin board: raccoon or envelope? Respond only with the item name.
model
Envelope"
swordfish,ant,violin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to swordfish: ant or violin? Respond only with the item name.
model
Violin"
ladder,crane,possum,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ladder: crane or possum? Respond only with the item name.
model
Crane"
stamp,fire,jewelry,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stamp: fire or jewelry? Respond only with the item name.
model
Jewelry"
anklet,pepper,tube top,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to anklet: pepper or tube top? Respond only with the item name.
model
Pepper"
air pump,gumball,ski,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to air pump: gumball or ski? Respond only with the item name.
model
Gumball"
hearing aid,stool,duckling,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hearing aid: stool or duckling? Respond only with the item name.
model
Stool"
suit,polar bear,walker,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to suit: polar bear or walker? Respond only with the item name.
model
Polar bear"
bus,petal,roof rack,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bus: petal or roof rack? Respond only with the item name.
model
Roof rack"
stapler,vial,doll,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stapler: vial or doll? Respond only with the item name.
model
Vial"
cloud,boxing gloves,prism,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cloud: boxing gloves or prism? Respond only with the item name.
model
Boxing gloves"
crouton,throne,toothpick,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crouton: throne or toothpick? Respond only with the item name.
model
Toothpick"
bank,spider,shoehorn,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bank: spider or shoehorn? Respond only with the item name.
model
Shoehorn"
ginger,yolk,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ginger: yolk or bowling ball? Respond only with the item name.
model
Yolk"
keyboard,revolving door,ram,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to keyboard: revolving door or ram? Respond only with the item name.
model
Keyboard"
strap,bolo tie,piglet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to strap: bolo tie or piglet? Respond only with the item name.
model
Bolo tie"
breadstick,buggy,scrambled egg,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to breadstick: buggy or scrambled egg? Respond only with the item name.
model
Scrambled egg"
shortbread,chocolate,snorkel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shortbread: chocolate or snorkel? Respond only with the item name.
model
Chocolate"
cooler,bird,grill,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cooler: bird or grill? Respond only with the item name.
model
Grill"
basketball,whoopee cushion,cheesecake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to basketball: whoopee cushion or cheesecake? Respond only with the item name.
model
Cheesecake"
stool,hawk,ski lift,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stool: hawk or ski lift? Respond only with the item name.
model
Hawk"
rust,hole,corsage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rust: hole or corsage? Respond only with the item name.
model
Hole"
shaving cream,coffee pot,spider web,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shaving cream: coffee pot or spider web? Respond only with the item name.
model
Coffee pot"
pinball,poodle,stool,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pinball: poodle or stool? Respond only with the item name.
model
Poodle"
stapler,aardvark,bolt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stapler: aardvark or bolt? Respond only with the item name.
model
Aardvark"
